pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
3KR3,1,bis-tris,Organic ligands/additives,missing,acidic,ambient,vapor diffusion - unspecified,0
3U4N,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3UTQ,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3UTS,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3UTT,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
4WDI,1,bis-tris,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
4Y1A,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
6CME,1,bis-tris,Organic ligands/additives,very high,missing,ambient,vapor diffusion - sitting drop,0
6FQR,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
6GV0,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - unspecified,0
8PYI,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - unspecified,0
8TKT,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
8TKU,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
1IMX,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
3KR3,1,cacodylate,Organic ligands/additives,missing,acidic,ambient,vapor diffusion - unspecified,0
4IBM,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - unspecified,0
4IOF,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
4M1C,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
5WOB,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
6GQE,1,cacodylate,Organic ligands/additives,low-mid,neutral,ambient,vapor diffusion - sitting drop,0
6XCO,1,cacodylate,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
7MJ6,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
7MJ7,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
7MJ8,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
7YEX,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
8AYG,1,cacodylate,Organic ligands/additives,missing,mildly acidic,cold,vapor diffusion - hanging drop,0
8TK9,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
1G1F,1,hepes,Organic ligands/additives,missing,mildly basic,warm,vapor diffusion - hanging drop,0
1G1G,1,hepes,Organic ligands/additives,missing,neutral,warm,vapor diffusion - hanging drop,0
1G1H,1,hepes,Organic ligands/additives,missing,mildly basic,warm,vapor diffusion - hanging drop,0
1IGR,1,hepes,Organic ligands/additives,mid,mildly basic,missing,unspecified/other,0
1K3A,1,hepes,Organic ligands/additives,missing,mildly basic,cold,vapor diffusion - hanging drop,0
2G47,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
2G48,1,hepes,Organic ligands/additives,missing,missing,missing,missing,0
2G49,1,hepes,Organic ligands/additives,missing,missing,missing,missing,0
2G54,1,hepes,Organic ligands/additives,missing,missing,missing,missing,0
2G56,1,hepes,Organic ligands/additives,missing,missing,missing,missing,0
2JG4,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
2WBY,1,hepes,Organic ligands/additives,mid,neutral,missing,unspecified/other,0
3BU3,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3BU5,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3BU6,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3CWW,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3E4A,1,hepes,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
3E4Z,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3H44,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3LVP,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
3N56,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3N57,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3OFI,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3QZ2,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3WS3,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
3ZU1,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4AJZ,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4DTT,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4DWK,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4GS8,1,hepes,Organic ligands/additives,mid,neutral,missing,vapor diffusion - hanging drop,0
4GSC,1,hepes,Organic ligands/additives,mid,neutral,missing,vapor diffusion - hanging drop,0
4GSF,1,hepes,Organic ligands/additives,mid,neutral,missing,vapor diffusion - hanging drop,0
4IFH,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4LTE,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4NXO,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4QIA,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4RAL,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4RE9,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4ZXB,1,hepes,Organic ligands/additives,high,neutral,ambient,vapor diffusion - hanging drop,0
5BTS,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
5CJO,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
5EN9,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
5ENA,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
5HQI,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
5KQV,1,hepes,Organic ligands/additives,mid,missing,ambient,vapor diffusion - hanging drop,0
5URT,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
5USP,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
5USV,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
5UU2,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6BYZ,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6EDS,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6FEY,1,hepes,Organic ligands/additives,mid,missing,ambient,vapor diffusion - unspecified,0
6MQ3,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6NWV,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6P4Z,1,hepes,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
6S34,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6VEP,1,hepes,Organic ligands/additives,low-mid,missing,warm,vapor diffusion - hanging drop,0
6VER,1,hepes,Organic ligands/additives,high,missing,warm,vapor diffusion - sitting drop,0
6VES,1,hepes,Organic ligands/additives,high,missing,warm,vapor diffusion - sitting drop,0
6VET,1,hepes,Organic ligands/additives,high,basic,warm,vapor diffusion - sitting drop,0
6Z7W,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
7K1D,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
7K1E,1,hepes,Organic ligands/additives,mid,missing,ambient,vapor diffusion - hanging drop,0
7K1F,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
7MJ9,1,hepes,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
7PPL,1,hepes,Organic ligands/additives,mid,mildly basic,cold,vapor diffusion - hanging drop,0
