pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
2RH1,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,unspecified/other,0
3D4S,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,unspecified/other,0
3GXK,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3GXR,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3HDF,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3M18,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3NYA,1,bis-tris,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
3OTP,1,bis-tris,Organic ligands/additives,low-mid,missing,missing,missing,0
4DXZ,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
4GBR,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
4HP0,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
4HPI,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
4N1C,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - sitting drop,0
4PHU,2,bis-tris,Organic ligands/additives,mid,neutral,ambient,lipidic cubic phase,0
4R0P,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4XSJ,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
5BZ6,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
5V8G,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
5XUW,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
6GNL,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
6HY8,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
6P4A,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
1G7M,1,cacodylate,Organic ligands/additives,low-mid,neutral,ambient,vapor diffusion - hanging drop,0
1GD6,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
1IP3,1,cacodylate,Organic ligands/additives,missing,neutral,cold,vapor diffusion - hanging drop,0
1ZVY,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
2HUK,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
2HUL,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4DXZ,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
4N0J,1,cacodylate,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
4PRQ,1,cacodylate,Organic ligands/additives,low-mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
4PRU,1,cacodylate,Organic ligands/additives,low-mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
5ZTY,1,cacodylate,Organic ligands/additives,mid,mildly acidic,ambient,lipidic cubic phase,0
7AP7,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
1AT6,1,hepes,Organic ligands/additives,mid,mildly basic,cold,unspecified/other,0
1C08,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
1EPY,1,hepes,Organic ligands/additives,missing,neutral,cold,vapor diffusion - hanging drop,0
1IC4,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
1IC5,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
1IC7,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
1J1O,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
1J1P,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
1J1X,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
1QTH,1,hepes,Organic ligands/additives,missing,neutral,cold,vapor diffusion - hanging drop,0
1T97,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
1UA6,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
1W08,1,hepes,Organic ligands/additives,low-mid,missing,missing,missing,0
1XFP,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - hanging drop,0
1ZMY,1,hepes,Organic ligands/additives,missing,missing,missing,missing,0
229L,1,hepes,Organic ligands/additives,low-mid,neutral,cold,vapor diffusion - hanging drop,0
2CWI,1,hepes,Organic ligands/additives,missing,missing,missing,missing,0
2DQC,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2DQD,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2DQE,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2DQG,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2DQH,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2DQI,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2DQJ,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
2FBD,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
2H5Z,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
2HUB,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
2NWD,1,hepes,Organic ligands/additives,trace-low,missing,missing,missing,0
3A67,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
3A6B,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
3A6C,1,hepes,Organic ligands/additives,missing,mildly basic,ambient,vapor diffusion - sitting drop,0
3E3D,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
3F6Z,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3RZ4,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3SBB,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
3UON,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,lipidic cubic phase,0
3W6C,1,hepes,Organic ligands/additives,low-mid,mildly basic,ambient,vapor diffusion - hanging drop,0
3W6D,1,hepes,Organic ligands/additives,low-mid,mildly basic,ambient,vapor diffusion - hanging drop,0
3W6E,1,hepes,Organic ligands/additives,low-mid,mildly basic,ambient,vapor diffusion - hanging drop,0
4DAJ,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,lipidic cubic phase,0
4DKL,1,hepes,Organic ligands/additives,mid,neutral,ambient,lipidic cubic phase,0
4EJ4,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,lipidic cubic phase,0
4GLA,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4GLV,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4GN3,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4GN4,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4GN5,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4GRV,1,hepes,Organic ligands/additives,low-mid,missing,missing,missing,0
4I0C,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4KRT,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
4N9N,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4NSJ,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4S0W,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,batch,0
4XYY,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
4YC4,1,hepes,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
5IEL,1,hepes,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
5ZBH,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6G5V,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
6LFH,1,hepes,Organic ligands/additives,trace-low,acidic,ambient,vapor diffusion - hanging drop,0
6PRZ,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS0,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS1,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS2,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS3,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS4,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS5,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6PS6,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
6UKC,1,hepes,Organic ligands/additives,mid,mildly acidic,warm,vapor diffusion - hanging drop,0
6XC0,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
6XC1,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
6ZX9,1,hepes,Organic ligands/additives,mid,missing,cold,vapor diffusion - sitting drop,0
7BE2,1,hepes,Organic ligands/additives,low-mid,mildly basic,ambient,vapor diffusion - hanging drop,0
7BTS,1,hepes,Organic ligands/additives,mid,missing,ambient,lipidic cubic phase,0
7OL5,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
7QQ1,1,hepes,Organic ligands/additives,high,mildly basic,ambient,vapor diffusion - hanging drop,0
7R1Q,1,hepes,Organic ligands/additives,high,mildly basic,ambient,vapor diffusion - hanging drop,0
7Y6A,1,hepes,Organic ligands/additives,low-mid,missing,ambient,microbatch,0
7Z6J,1,hepes,Organic ligands/additives,high,mildly basic,ambient,vapor diffusion - hanging drop,0
7ZU6,1,hepes,Organic ligands/additives,high,mildly basic,ambient,vapor diffusion - hanging drop,0
8AJ3,1,hepes,Organic ligands/additives,high,acidic,ambient,vapor diffusion - hanging drop,0
8AJ4,1,hepes,Organic ligands/additives,high,mildly basic,ambient,vapor diffusion - hanging drop,0
8BOV,1,hepes,Organic ligands/additives,high,mildly basic,ambient,vapor diffusion - hanging drop,0
8BPU,1,hepes,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
8BQR,1,hepes,Organic ligands/additives,mid,basic,ambient,vapor diffusion - hanging drop,0
