pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
5WHW,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
5WJG,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,batch,0
5WJH,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,batch,0
3AJ8,1,cacodylate,Organic ligands/additives,low-mid,neutral,ambient,vapor diffusion - sitting drop,0
3AJ9,1,cacodylate,Organic ligands/additives,low-mid,neutral,ambient,vapor diffusion - sitting drop,0
3Q40,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3Q5G,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3QMP,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4B5L,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
6RZP,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
6RZP,2,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
6RZP,3,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
6RZP,4,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
3D9Q,1,hepes,Organic ligands/additives,mid,missing,missing,missing,0
3DDZ,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE0,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE1,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE2,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE3,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE4,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE5,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE6,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DE7,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DVQ,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DVR,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
3DVS,1,hepes,Organic ligands/additives,very high,missing,missing,missing,0
