pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
2E3W,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
2F96,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
2NUI,1,bis-tris,Organic ligands/additives,mid,mildly acidic,missing,vapor diffusion - hanging drop,0
2P45,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - unspecified,0
2P48,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - unspecified,0
2R7F,1,bis-tris,Organic ligands/additives,missing,missing,missing,missing,0
3IE2,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
3ISN,1,bis-tris,Organic ligands/additives,mid,neutral,cold,vapor diffusion - sitting drop,0
3KLE,1,bis-tris,Organic ligands/additives,low-mid,neutral,missing,vapor diffusion - hanging drop,0
3KLF,1,bis-tris,Organic ligands/additives,low-mid,neutral,missing,vapor diffusion - hanging drop,0
3KLG,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,vapor diffusion - hanging drop,0
3KLI,1,bis-tris,Organic ligands/additives,low-mid,neutral,missing,vapor diffusion - hanging drop,0
3N3W,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
3NGY,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3P56,1,bis-tris,Organic ligands/additives,mid,neutral,cold,vapor diffusion - sitting drop,0
3PUF,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - sitting drop,0
3QSK,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
3V32,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
3V34,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
3WHO,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4HKQ,1,bis-tris,Organic ligands/additives,mid,acidic,ambient,vapor diffusion - hanging drop,0
4LY7,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4POU,1,bis-tris,Organic ligands/additives,mid,basic,warm,vapor diffusion - hanging drop,0
4PY5,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - sitting drop,0
5B16,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
5DZM,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
5K8J,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - sitting drop,0
5OHG,1,bis-tris,Organic ligands/additives,mid,basic,ambient,vapor diffusion - sitting drop,0
6K6S,1,bis-tris,Organic ligands/additives,low-mid,missing,ambient,microbatch,0
6QMN,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - hanging drop,0
6X2D,1,bis-tris,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
7NDK,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
8SSF,1,bis-tris,Organic ligands/additives,mid,mildly acidic,cold,vapor diffusion - sitting drop,0
9F7G,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - sitting drop,0
9GNT,1,bis-tris,Organic ligands/additives,low-mid,missing,ambient,vapor diffusion - sitting drop,0
9GO7,1,bis-tris,Organic ligands/additives,high,missing,ambient,vapor diffusion - sitting drop,0
9GQ0,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
9GQP,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
1A5P,1,cacodylate,Organic ligands/additives,high,missing,missing,missing,0
1BK7,1,cacodylate,Organic ligands/additives,mid,neutral,missing,unspecified/other,0
1J1G,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
1SMX,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
1SN8,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
1UCA,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
