pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
2AGE,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
2AGG,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
2AGI,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
2AH4,1,bis-tris,Organic ligands/additives,missing,acidic,ambient,vapor diffusion - hanging drop,0
2UUY,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
3M7Q,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - sitting drop,0
3ZC8,1,bis-tris,Organic ligands/additives,mid,neutral,missing,unspecified/other,0
4AB8,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4AB9,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABA,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABB,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABD,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABE,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABF,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABG,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4ABH,1,bis-tris,Organic ligands/additives,low-mid,mildly acidic,missing,unspecified/other,0
4GUX,1,bis-tris,Organic ligands/additives,mid,neutral,cold,vapor diffusion - hanging drop,0
4NCY,1,bis-tris,Organic ligands/additives,mid,neutral,cold,unspecified/other,0
5LGO,1,bis-tris,Organic ligands/additives,low-mid,missing,ambient,vapor diffusion - hanging drop,0
6BX8,1,bis-tris,Organic ligands/additives,mid,acidic,ambient,vapor diffusion - hanging drop,0
6KV2,1,bis-tris,Organic ligands/additives,high,missing,missing,missing,0
9BOT,1,bis-tris,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
9PNO,1,bis-tris,Organic ligands/additives,low-mid,missing,ambient,vapor diffusion - sitting drop,0
1EZS,1,cacodylate,Organic ligands/additives,low-mid,neutral,ambient,vapor diffusion - hanging drop,0
1EZU,1,cacodylate,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
1LU0,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
1TIO,1,cacodylate,Organic ligands/additives,mid,mildly acidic,missing,vapor diffusion - hanging drop,0
2G5N,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
2G5V,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
2G8T,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3E8L,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,evaporation,0
3MFJ,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
3MI4,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4I8G,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
4I8H,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
4I8J,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
4I8K,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
4I8L,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - hanging drop,0
4KTU,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - sitting drop,0
4WWY,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
4WXV,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
5F6M,1,cacodylate,Organic ligands/additives,mid,missing,ambient,vapor diffusion - hanging drop,0
6EAV,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
6EAX,1,cacodylate,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
6QIH,1,cacodylate,Organic ligands/additives,mid,missing,ambient,vapor diffusion - hanging drop,0
8UO7,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
8UTL,1,cacodylate,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
