protein,pdb_id,crystal_id,species_name,species_class,concentration_bin,pH_bin,temperature_bin,method_family,observed_in_structure_label
insulin,3KR3,1,bis-tris,Organic ligands/additives,missing,acidic,ambient,vapor diffusion - unspecified,0
insulin,3U4N,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
insulin,3UTQ,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
insulin,3UTS,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
insulin,3UTT,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
insulin,4WDI,1,bis-tris,Organic ligands/additives,mid,mildly basic,ambient,vapor diffusion - sitting drop,0
insulin,4Y1A,1,bis-tris,Organic ligands/additives,missing,mildly acidic,ambient,vapor diffusion - hanging drop,0
insulin,6CME,1,bis-tris,Organic ligands/additives,very high,missing,ambient,vapor diffusion - sitting drop,0
insulin,6FQR,1,bis-tris,Organic ligands/additives,mid,missing,missing,missing,0
insulin,6GV0,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - unspecified,0
insulin,8PYI,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - unspecified,0
insulin,8TKT,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
insulin,8TKU,1,bis-tris,Organic ligands/additives,mid,missing,ambient,vapor diffusion - sitting drop,0
insulin,1IMX,1,cacodylate,Organic ligands/additives,missing,neutral,ambient,vapor diffusion - hanging drop,0
insulin,3KR3,1,cacodylate,Organic ligands/additives,missing,acidic,ambient,vapor diffusion - unspecified,0
insulin,4IBM,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - unspecified,0
insulin,4IOF,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
insulin,4M1C,1,cacodylate,Organic ligands/additives,mid,neutral,ambient,vapor diffusion - hanging drop,0
insulin,5WOB,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
insulin,6GQE,1,cacodylate,Organic ligands/additives,low-mid,neutral,ambient,vapor diffusion - sitting drop,0
insulin,6XCO,1,cacodylate,Organic ligands/additives,mid,mildly acidic,ambient,vapor diffusion - hanging drop,0
insulin,7MJ6,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
insulin,7MJ7,1,cacodylate,Organic ligands/additives,mid,missing,missing,missing,0
