group_id,species_group_id,pdb_id,crystal_id,protein,species_name,species_major_class,species_minor_class,species_role_class,is_ion_like,is_anion,is_cation,is_metal_cation,is_monovalent_cation,is_divalent_cation,is_screen_relevant_anion,is_buffer_like,is_solvent_like,is_polymeric_precipitant,is_polyol_like,is_ionic_liquid_or_des,condition_segment_count,has_numeric_concentration,concentration_value_count,concentration_numeric_min,concentration_numeric_max,concentration_numeric_mean,concentration_unit_primary,concentration_unit_family,molar_equivalent_min,molar_equivalent_max,molar_equivalent_mean,concentration_bin,method_family,p_h,temp_k,observed_in_structure,observed_in_structure_label,explicit_entity_present_label,retained_multicopy_label,explicit_entity_count,explicit_compound_count,solvent_content_percent,solvent_content_regime,matthews_density,resolution_high_a,resolution_regime,space_group_hm
insulin|3KR3|1,insulin|3KR3|1|bis-tris,3KR3,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,10.0,10.0,10.0,%,percent,,,,nonmolar_numeric,vapor diffusion - unspecified,5.3,293.0,no,0,0,0,0,0,52.68,intermediate,2.6,2.2,medium,P 21 21 21
insulin|3U4N|1,insulin|3U4N|1|bis-tris,3U4N,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|3UTQ|1,insulin|3UTQ|1|bis-tris,3UTQ,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|3UTS|1,insulin|3UTS|1|bis-tris,3UTS,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|3UTT|1,insulin|3UTT|1|bis-tris,3UTT,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|4WDI|1,insulin|4WDI|1|bis-tris,4WDI,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,8.0,291.0,no,0,0,0,0,0,43.64,intermediate,2.18,2.31,medium,P 1
insulin|4Y1A|1,insulin|4Y1A|1|bis-tris,4Y1A,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,5.5,293.0,no,0,0,0,0,0,69.16,open,3.99,4.0,lower,I 2 2 2
insulin|6CME|1,insulin|6CME|1|bis-tris,6CME,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3.0,110.0,56.5,mixed,molar,0.11,3.0,1.555,very_high,vapor diffusion - sitting drop,,293.0,no,0,0,0,0,0,53.34,intermediate,2.47,1.92,medium,P 1 21 1
insulin|6FQR|1,insulin|6FQR|1|bis-tris,6FQR,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|6GV0|1,insulin|6GV0|1|bis-tris,6GV0,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0.1,0.4,0.25,M,molar,0.1,0.4,0.25,mid,vapor diffusion - unspecified,,293.0,no,0,0,0,0,0,37.0,compact,1.96,1.26,high,H 3
insulin|8PYI|1,insulin|8PYI|1|bis-tris,8PYI,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - unspecified,,293.0,no,0,0,0,0,0,42.73,intermediate,2.15,3.06,lower,C 1 2 1
insulin|8TKT|1,insulin|8TKT|1|bis-tris,8TKT,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,,295.0,no,0,0,0,0,0,55.18,open,2.74,2.3,medium,C 1 2 1
insulin|8TKU|1,insulin|8TKU|1|bis-tris,8TKU,1,insulin,bis-tris,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - sitting drop,,295.0,no,0,0,0,0,0,51.76,intermediate,2.55,2.35,medium,P 1 21 1
insulin|1IMX|1,insulin|1IMX|1|cacodylate,1IMX,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,6.5,293.0,no,0,0,0,0,0,49.45,intermediate,2.43,1.82,medium,C 2 2 21
insulin|3KR3|1,insulin|3KR3|1|cacodylate,3KR3,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,10.0,10.0,10.0,%,percent,,,,nonmolar_numeric,vapor diffusion - unspecified,5.3,293.0,no,0,0,0,0,0,52.68,intermediate,2.6,2.2,medium,P 21 21 21
insulin|4IBM|1,insulin|4IBM|1|cacodylate,4IBM,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - unspecified,6.5,293.0,no,0,0,0,0,0,46.88,intermediate,2.32,1.8,high,P 21 21 21
insulin|4IOF|1,insulin|4IOF|1|cacodylate,4IOF,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|4M1C|1,insulin|4M1C|1|cacodylate,4M1C,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,6.5,291.15,no,0,0,0,0,0,39.65,compact,2.04,3.5,lower,P 21 21 21
insulin|5WOB|1,insulin|5WOB|1|cacodylate,5WOB,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|6GQE|1,insulin|6GQE|1|cacodylate,6GQE,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.05,0.05,0.05,M,molar,0.05,0.05,0.05,low_to_mid,vapor diffusion - sitting drop,6.5,292.0,no,0,0,0,0,0,,,,2.15,medium,P 21 21 21
insulin|6XCO|1,insulin|6XCO|1|cacodylate,6XCO,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,5.5,293.15,no,0,1,0,1,1,48.16,intermediate,2.37,2.9,lower,P 1 21 1
insulin|7MJ6|1,insulin|7MJ6|1|cacodylate,7MJ6,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|7MJ7|1,insulin|7MJ7|1|cacodylate,7MJ7,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|7MJ8|1,insulin|7MJ8|1|cacodylate,7MJ8,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|7YEX|1,insulin|7YEX|1|cacodylate,7YEX,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,vapor diffusion - hanging drop,6.5,293.0,no,0,0,0,0,0,47.18,intermediate,2.33,2.0,medium,P 2 21 21
insulin|8AYG|1,insulin|8AYG|1|cacodylate,8AYG,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,5.5,283.15,no,0,0,0,0,0,47.06,intermediate,2.32,2.25,medium,P 21 21 21
insulin|8TK9|1,insulin|8TK9|1|cacodylate,8TK9,1,insulin,cacodylate,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|1G1F|1,insulin|1G1F|1|hepes,1G1F,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,8.0,302.0,no,0,0,0,0,0,49.38,intermediate,2.43,2.0,medium,P 1 21 1
insulin|1G1G|1,insulin|1G1G|1|hepes,1G1G,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,7.0,302.0,no,0,0,0,0,0,56.92,open,2.86,2.2,medium,P 1 21 1
insulin|1G1H|1,insulin|1G1H|1|hepes,1G1H,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,7.5,302.0,no,0,0,0,0,0,58.14,open,2.94,2.4,medium,P 1 21 1
insulin|1IGR|1,insulin|1IGR|1|hepes,1IGR,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,unspecified/other,7.5,,no,0,0,0,0,0,66.0,open,4.27,2.6,lower,P 21 21 21
insulin|1K3A|1,insulin|1K3A|1|hepes,1K3A,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,vapor diffusion - hanging drop,7.5,277.0,no,0,0,0,0,0,57.55,open,2.9,2.1,medium,C 2 2 21
insulin|2G47|1,insulin|2G47|1|hepes,2G47,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|2G48|1,insulin|2G48|1|hepes,2G48,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,,,,no,0,0,0,0,0,,,,,,
insulin|2G49|1,insulin|2G49|1|hepes,2G49,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,,,,no,0,0,0,0,0,,,,,,
insulin|2G54|1,insulin|2G54|1|hepes,2G54,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,,,,no,0,0,0,0,0,,,,,,
insulin|2G56|1,insulin|2G56|1|hepes,2G56,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,,,missing,missing,,,,missing,,,,no,0,0,0,0,0,,,,,,
insulin|2JG4|1,insulin|2JG4|1|hepes,2JG4,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.1,0.1,0.1,M,molar,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
insulin|2WBY|1,insulin|2WBY|1|hepes,2WBY,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,100.0,100.0,100.0,mM,molar,0.1,0.1,0.1,mid,unspecified/other,7.0,,no,0,0,0,0,0,67.0,open,3.8,2.6,lower,P 65
insulin|3BU3|1,insulin|3BU3|1|hepes,3BU3,1,insulin,hepes,buffer,buffer,buffer_like,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0.1,28.0,14.05,mixed,mixed,0.1,0.1,0.1,mid,,,,no,0,0,0,0,0,,,,,,
