protein,species_name,species_class,n_condition,n_retained,raw_retention_efficiency,p0_protein,P_shrink,support_flag,median_pH_retained,median_concentration_bin
insulin,zinc,Metal/cations,69,60,0.8695652173913043,0.1337126600284495,0.7764193240542341,robust,8.0,trace-low
insulin,phenol,Organic ligands/additives,41,35,0.8536585365853658,0.1337126600284495,0.7124926784369509,robust,8.0,very high
insulin,cresol,Organic ligands/additives,8,8,1.0,0.1337126600284495,0.5187292555713608,low_support,7.5,high
insulin,copper,Metal/cations,6,6,1.0,0.1337126600284495,0.45857041251778097,low_support,7.1,trace-low
insulin,sulfate,Anions,35,18,0.5142857142857142,0.1337126600284495,0.42971392445076656,robust,7.5,high
insulin,nickel,Metal/cations,4,4,1.0,0.1337126600284495,0.3812233285917497,low_support,6.75,low-mid
insulin,cobalt,Metal/cations,2,2,1.0,0.1337126600284495,0.27809388335704127,exploratory,6.35,trace-low
insulin,chloride,Anions,28,8,0.2857142857142857,0.1337126600284495,0.24571385790222355,robust,6.7,mid
insulin,manganese,Metal/cations,1,1,1.0,0.1337126600284495,0.21246605457131773,exploratory,,high
insulin,nitrate,Anions,1,1,1.0,0.1337126600284495,0.21246605457131773,exploratory,8.5,very high
insulin,calcium,Metal/cations,12,3,0.25,0.1337126600284495,0.1971421181947498,moderate,7.5,mid
insulin,magnesium,Metal/cations,42,6,0.14285714285714285,0.1337126600284495,0.14109858846700954,robust,7.0,mid
insulin,formate,Anions,9,1,0.1111111111111111,0.1337126600284495,0.12300666317286817,low_support,,mid
insulin,chaps,Organic ligands/additives,1,0,0.0,0.1337126600284495,0.12155696366222682,exploratory,,missing
insulin,iodide,Anions,2,0,0.0,0.1337126600284495,0.11142721669037459,exploratory,,mid
insulin,mpd,Neutral solvents/polyols,13,1,0.07692307692307693,0.1337126600284495,0.10161420001236934,moderate,6.5,mid
insulin,phosphate,Anions,73,7,0.0958904109589041,0.1337126600284495,0.1004473084371626,robust,6.16,mid
insulin,dmf,Neutral solvents/polyols,4,0,0.0,0.1337126600284495,0.09550904287746394,low_support,,missing
insulin,2-propanol,Neutral solvents/polyols,5,0,0.0,0.1337126600284495,0.08914177335229967,low_support,,high
insulin,lithium,Metal/cations,5,0,0.0,0.1337126600284495,0.08914177335229967,low_support,,mid
insulin,tartrate,Anions,5,0,0.0,0.1337126600284495,0.08914177335229967,low_support,,mid
insulin,acetone,Neutral solvents/polyols,50,4,0.08,0.1337126600284495,0.0889521100047416,robust,6.3,high
insulin,malate,Anions,6,0,0.0,0.1337126600284495,0.08357041251778094,low_support,,mid
insulin,glycerol,Neutral solvents/polyols,35,2,0.05714285714285714,0.1337126600284495,0.074158368895211,robust,5.5,high
insulin,sodium,Metal/cations,236,16,0.06779661016949153,0.1337126600284495,0.07047612439140039,robust,6.7,mid
insulin,dtt,Organic ligands/additives,9,0,0.0,0.1337126600284495,0.07037508422549973,low_support,,trace-low
insulin,ethanol,Neutral solvents/polyols,9,0,0.0,0.1337126600284495,0.07037508422549973,low_support,,very high
insulin,ethylene glycol,Neutral solvents/polyols,10,0,0.0,0.1337126600284495,0.06685633001422475,moderate,,missing
insulin,bis-tris,Organic ligands/additives,13,0,0.0,0.1337126600284495,0.058135939142804134,moderate,,mid
insulin,imidazole,Organic ligands/additives,13,0,0.0,0.1337126600284495,0.058135939142804134,moderate,,mid
insulin,cacodylate,Organic ligands/additives,14,0,0.0,0.1337126600284495,0.05571360834518729,moderate,,mid
insulin,acetate,Anions,104,5,0.04807692307692308,0.1337126600284495,0.05558882982705698,robust,6.3,low-mid
insulin,mes,Organic ligands/additives,16,0,0.0,0.1337126600284495,0.05142794616478827,moderate,,mid
insulin,potassium,Metal/cations,22,0,0.0,0.1337126600284495,0.04178520625889047,robust,,mid
insulin,dioxane,Neutral solvents/polyols,34,0,0.0,0.1337126600284495,0.030389240915556705,robust,,missing
insulin,ammonium,Metal/cations,46,0,0.0,0.1337126600284495,0.023877260719365984,robust,,high
insulin,hepes,Organic ligands/additives,76,0,0.0,0.1337126600284495,0.015547983724238315,robust,,mid
insulin,tris,Organic ligands/additives,107,0,0.0,0.1337126600284495,0.01142843248106406,robust,,mid
insulin,peg,PEG/polymer,115,0,0.0,0.1337126600284495,0.01069701280227596,robust,,mid
insulin,citrate,Anions,125,0,0.0,0.1337126600284495,0.009904641483588852,robust,,mid
lysozyme,nitrate,Anions,82,66,0.8048780487804879,0.3226389516493448,0.7524607556140591,robust,4.5,mid
lysozyme,ethylene glycol,Neutral solvents/polyols,134,91,0.6791044776119403,0.3226389516493448,0.6543499271978711,robust,4.5,mid
lysozyme,chloride,Anions,401,232,0.5785536159600998,0.3226389516493448,0.5723269817919548,robust,4.6,high
lysozyme,sodium,Metal/cations,1347,744,0.5523385300668151,0.3226389516493448,0.5506458286783297,robust,4.5,high
lysozyme,iodide,Anions,4,4,1.0,0.3226389516493448,0.516170679749532,low_support,6.75,mid
lysozyme,sulfate,Anions,71,36,0.5070422535211268,0.3226389516493448,0.4842764137838697,robust,6.5,mid
lysozyme,cesium,Metal/cations,5,3,0.6,0.3226389516493448,0.41509263443289657,low_support,4.5,very high
lysozyme,cobalt,Metal/cations,3,2,0.6666666666666666,0.3226389516493448,0.40202996280718833,low_support,7.0,trace-low
lysozyme,calcium,Metal/cations,19,8,0.42105263157894735,0.3226389516493448,0.38711687987908444,moderate,6.5,mid
lysozyme,bromide,Anions,1,1,1.0,0.3226389516493448,0.38421722877213166,exploratory,4.6,high
lysozyme,acetone,Neutral solvents/polyols,1,0,0.0,0.3226389516493448,0.2933081378630407,exploratory,,missing
lysozyme,ionic liquid,IL/DES,1,0,0.0,0.3226389516493448,0.2933081378630407,exploratory,,missing
lysozyme,nickel,Metal/cations,1,0,0.0,0.3226389516493448,0.2933081378630407,exploratory,,trace-low
lysozyme,cadmium,Metal/cations,2,0,0.0,0.3226389516493448,0.2688657930411207,exploratory,,missing
lysozyme,dioxane,Neutral solvents/polyols,2,0,0.0,0.3226389516493448,0.2688657930411207,exploratory,,missing
lysozyme,ethylammonium nitrate,IL/DES,2,0,0.0,0.3226389516493448,0.2688657930411207,exploratory,,missing
lysozyme,phosphate,Anions,231,60,0.2597402597402597,0.3226389516493448,0.26235016396885247,robust,7.4,very high
lysozyme,mpd,Neutral solvents/polyols,34,8,0.23529411764705882,0.3226389516493448,0.255145216283942,robust,5.0,mid
lysozyme,ethanol,Neutral solvents/polyols,3,0,0.0,0.3226389516493448,0.24818380896103448,low_support,,very high
lysozyme,malate,Anions,3,0,0.0,0.3226389516493448,0.24818380896103448,low_support,,mid
lysozyme,zinc,Metal/cations,3,0,0.0,0.3226389516493448,0.24818380896103448,low_support,,low-mid
lysozyme,magnesium,Metal/cations,28,6,0.21428571428571427,0.3226389516493448,0.24279972411824863,robust,7.25,mid
lysozyme,formate,Anions,45,9,0.2,0.3226389516493448,0.22229799120897178,robust,7.25,high
lysozyme,2-propanol,Neutral solvents/polyols,38,5,0.13157894736842105,0.3226389516493448,0.17138311492694683,robust,5.3,low-mid
lysozyme,potassium,Metal/cations,87,12,0.13793103448275862,0.3226389516493448,0.15697308779890154,robust,6.75,very high
lysozyme,acetate,Anions,852,125,0.1467136150234742,0.3226389516493448,0.1487545122001084,robust,4.5,mid
lysozyme,cacodylate,Organic ligands/additives,12,0,0.0,0.3226389516493448,0.14665406893152036,moderate,,mid
lysozyme,imidazole,Organic ligands/additives,13,0,0.0,0.3226389516493448,0.14027780506493254,moderate,,mid
lysozyme,glycerol,Neutral solvents/polyols,103,12,0.11650485436893204,0.3226389516493448,0.134746809880473,robust,4.7,mid
lysozyme,tartrate,Anions,16,0,0.0,0.3226389516493448,0.12409190448051724,moderate,,mid
lysozyme,bis-tris,Organic ligands/additives,22,0,0.0,0.3226389516493448,0.10082467239042026,robust,,mid
lysozyme,citrate,Anions,66,4,0.06060606060606061,0.3226389516493448,0.0950840725854401,robust,6.0,mid
lysozyme,mes,Organic ligands/additives,26,0,0.0,0.3226389516493448,0.0896219310137069,robust,,mid
lysozyme,lithium,Metal/cations,34,0,0.0,0.3226389516493448,0.07332703446576018,robust,,mid
lysozyme,hepes,Organic ligands/additives,93,0,0.0,0.3226389516493448,0.03132417006304319,robust,,mid
lysozyme,tris,Organic ligands/additives,103,0,0.0,0.3226389516493448,0.028552119614986268,robust,,mid
lysozyme,ammonium,Metal/cations,115,0,0.0,0.3226389516493448,0.025811116131947587,robust,,mid
lysozyme,peg,PEG/polymer,423,0,0.0,0.3226389516493448,0.007451245996520666,robust,,mid
proteinase k,sulfate,Anions,94,87,0.925531914893617,0.28689883913764513,0.8641248883786197,robust,8.0,high
proteinase k,calcium,Metal/cations,63,58,0.9206349206349206,0.28689883913764513,0.8338217587859788,robust,6.5,low-mid
proteinase k,nitrate,Anions,20,16,0.8,0.28689883913764513,0.6289662797125484,robust,7.5,high
proteinase k,glycerol,Neutral solvents/polyols,7,6,0.8571428571428571,0.28689883913764513,0.5217051994927324,low_support,7.5,mid
proteinase k,ethylene glycol,Neutral solvents/polyols,2,2,1.0,0.28689883913764513,0.40574903261470424,exploratory,,high
proteinase k,ethanol,Neutral solvents/polyols,1,0,0.0,0.28689883913764513,0.26081712648876826,exploratory,,missing
proteinase k,magnesium,Metal/cations,1,0,0.0,0.28689883913764513,0.26081712648876826,exploratory,,very high
proteinase k,potassium,Metal/cations,1,0,0.0,0.28689883913764513,0.26081712648876826,exploratory,,high
proteinase k,bis-tris,Organic ligands/additives,3,0,0.0,0.28689883913764513,0.22069141472126547,low_support,,mid
