protein,feature_group,importance_value,importance_type,normalized_importance,model
lysozyme,Species identity,54.095153455873174,sum_abs_logistic_coefficients,0.5927529826843448,regularized_logistic
lysozyme,Species class,12.571731734589687,sum_abs_logistic_coefficients,0.1377559911954812,regularized_logistic
lysozyme,pH,3.1066828794187433,sum_abs_logistic_coefficients,0.034041784252114286,regularized_logistic
lysozyme,Temperature,1.3471234930413853,sum_abs_logistic_coefficients,0.014761238623637533,regularized_logistic
lysozyme,Method,8.47197802190294,sum_abs_logistic_coefficients,0.09283253528092103,regularized_logistic
lysozyme,Concentration context,11.668201361613725,sum_abs_logistic_coefficients,0.1278554679635011,regularized_logistic
ribonuclease,Species identity,60.36346234601136,sum_abs_logistic_coefficients,0.6084685435155728,regularized_logistic
ribonuclease,Species class,11.60741903431753,sum_abs_logistic_coefficients,0.11700371514976245,regularized_logistic
ribonuclease,pH,3.841261599905133,sum_abs_logistic_coefficients,0.03872022511828326,regularized_logistic
ribonuclease,Temperature,1.8651086410607123,sum_abs_logistic_coefficients,0.018800444742870338,regularized_logistic
ribonuclease,Method,12.495178849749818,sum_abs_logistic_coefficients,0.1259524053158664,regularized_logistic
ribonuclease,Concentration context,9.03312910849755,sum_abs_logistic_coefficients,0.09105466615764482,regularized_logistic
trypsin,Species identity,26.74645424468612,sum_abs_logistic_coefficients,0.5520790255824345,regularized_logistic
trypsin,Species class,7.9369135687323755,sum_abs_logistic_coefficients,0.16382745425137363,regularized_logistic
trypsin,pH,1.6765565710191936,sum_abs_logistic_coefficients,0.03460614665385028,regularized_logistic
trypsin,Temperature,1.286477218468604,sum_abs_logistic_coefficients,0.026554439056057488,regularized_logistic
trypsin,Method,5.36002560644829,sum_abs_logistic_coefficients,0.11063738343906963,regularized_logistic
trypsin,Concentration context,5.440358495769859,sum_abs_logistic_coefficients,0.11229555101721447,regularized_logistic
insulin,Species identity,90.51968310945965,sum_abs_logistic_coefficients,0.776262749156669,regularized_logistic
insulin,Species class,7.149372565444545,sum_abs_logistic_coefficients,0.06131032955215103,regularized_logistic
insulin,pH,3.914961507342435,sum_abs_logistic_coefficients,0.033573237092061635,regularized_logistic
insulin,Temperature,2.190430203394828,sum_abs_logistic_coefficients,0.01878430539208746,regularized_logistic
insulin,Method,8.996287614381934,sum_abs_logistic_coefficients,0.07714877820881823,regularized_logistic
insulin,Concentration context,3.8388578315276938,sum_abs_logistic_coefficients,0.03292060059821265,regularized_logistic
proteinase k,Species identity,21.51147195970854,sum_abs_logistic_coefficients,0.5995740548108274,regularized_logistic
proteinase k,Species class,4.617886397637098,sum_abs_logistic_coefficients,0.1287110838938868,regularized_logistic
proteinase k,pH,1.8238352725405955,sum_abs_logistic_coefficients,0.05083447156532897,regularized_logistic
proteinase k,Temperature,1.3173288666328102,sum_abs_logistic_coefficients,0.03671697648425762,regularized_logistic
proteinase k,Method,2.2377684232494057,sum_abs_logistic_coefficients,0.0623717377299111,regularized_logistic
proteinase k,Concentration context,4.369632394467791,sum_abs_logistic_coefficients,0.12179167551578815,regularized_logistic
