protein,species_name,species_class,mean_P_oof,median_P_oof,n_condition,n_modeled,raw_structure_observed_frequency,low_support_flag,rank_within_protein
insulin,copper,Metal/cations,0.9804879899795789,0.9808448526289792,6,6,1.0,True,1
insulin,zinc,Metal/cations,0.9751650121619965,0.9865658040724534,69,60,0.8695652173913043,False,2
insulin,phenol,Organic ligands,0.970763574384396,0.9715039956683411,41,35,0.8536585365853658,False,3
insulin,cresol,Organic ligands,0.9663292234535353,0.9806573119096297,8,8,1.0,True,4
insulin,cobalt,Metal/cations,0.9330579802856394,0.9330579802856394,2,2,1.0,True,5
insulin,nickel,Metal/cations,0.863324593360335,0.9131459401157218,4,4,1.0,True,6
insulin,sulfate,Anions,0.8549715303893003,0.9195749382877764,35,18,0.5142857142857142,False,7
insulin,manganese,Metal/cations,0.7139301370613518,0.7139301370613518,1,1,1.0,True,8
insulin,calcium,Metal/cations,0.669160689137319,0.7303548787567813,12,3,0.25,False,9
insulin,chloride,Anions,0.6247284102676038,0.6919885291015273,28,8,0.2857142857142857,False,10
insulin,magnesium,Metal/cations,0.45798039601053225,0.5522030581406552,42,6,0.14285714285714285,False,11
insulin,formate,Anions,0.39145690189699756,0.51971904608288,9,1,0.1111111111111111,True,12
insulin,phosphate,Anions,0.35857906658947813,0.3498174765722519,73,7,0.0958904109589041,False,13
insulin,acetone,Small neutral additives,0.3268060692672908,0.30949968218469864,50,4,0.08,False,14
insulin,sodium,Metal/cations,0.29003124672399694,0.2921362473136384,236,16,0.06779661016949153,False,15
insulin,lithium,Metal/cations,0.2724399039111184,0.3708495220836293,5,0,0.0,True,16
insulin,mpd,Small neutral additives,0.2615743700369584,0.2851342246460778,13,1,0.07692307692307693,False,17
insulin,glycerol,Small neutral additives,0.2339503521758242,0.23075192099352312,35,2,0.05714285714285714,False,18
insulin,acetate,Anions,0.2180205261586003,0.20564718509074956,104,5,0.04807692307692308,False,19
insulin,iodide,Anions,0.21744054169785937,0.21744054169785937,2,0,0.0,True,20
insulin,chaps,Organic ligands,0.11671450658872737,0.11671450658872737,1,0,0.0,True,21
insulin,tartrate,Anions,0.08140608832558947,0.10734607318922561,5,0,0.0,True,22
insulin,malate,Anions,0.054916716933641606,0.05130151766186487,6,0,0.0,True,23
insulin,2-propanol,Small neutral additives,0.042598227262203935,0.05095466743459374,5,0,0.0,True,24
insulin,dmf,Small neutral additives,0.04195729158591135,0.016283787890422587,4,0,0.0,True,25
insulin,potassium,Metal/cations,0.03890031998665532,0.038986705703361095,22,0,0.0,False,26
insulin,bis-tris,Organic ligands,0.035958743250373945,0.029151518272425958,13,0,0.0,False,27
insulin,ethanol,Small neutral additives,0.03508867772692621,0.024145981888494327,9,0,0.0,True,28
insulin,ethylene glycol,Small neutral additives,0.03264637167446679,0.030208061678862023,10,0,0.0,False,29
insulin,cacodylate,Organic ligands,0.03017408652046564,0.02318052804136453,14,0,0.0,False,30
insulin,dtt,Organic ligands,0.027966974212718227,0.023333219467550084,9,0,0.0,True,31
insulin,imidazole,Organic ligands,0.027280823258083342,0.028857916975163687,13,0,0.0,False,32
insulin,ammonium,Metal/cations,0.02283657631945177,0.024710298821710608,46,0,0.0,False,33
insulin,mes,Organic ligands,0.02198650903015362,0.02122043545740544,16,0,0.0,False,34
insulin,dioxane,Small neutral additives,0.014627359328490235,0.012636547217382284,34,0,0.0,False,35
insulin,hepes,Organic ligands,0.00832698153961473,0.008113305274785848,76,0,0.0,False,36
insulin,citrate,Anions,0.00748235003317039,0.006032659359832079,125,0,0.0,False,37
insulin,nitrate,Anions,0.007128986216271124,0.007128986216271124,1,1,1.0,True,38
insulin,tris,Organic ligands,0.006573192953800408,0.005344516892578951,107,0,0.0,False,39
insulin,peg,PEG/polymer,0.004164071858414397,0.003946898646309159,115,0,0.0,False,40
lysozyme,nitrate,Anions,0.8942107980064197,0.9325219703374924,82,66,0.8048780487804879,False,1
lysozyme,iodide,Anions,0.8802581078653151,0.9251276787945419,4,4,1.0,True,2
lysozyme,ionic liquid,IL/DES,0.8009896268229836,0.8009896268229836,1,0,0.0,True,3
lysozyme,ethylene glycol,Small neutral additives,0.800090902750499,0.8324139310252638,134,91,0.6791044776119403,False,4
lysozyme,chloride,Anions,0.7278817465198526,0.7531730805864759,401,232,0.5785536159600998,False,5
lysozyme,cesium,Metal/cations,0.7112486250863247,0.8389661054797322,5,3,0.6,True,6
lysozyme,sodium,Metal/cations,0.7016109194135202,0.7319857794750164,1347,744,0.5523385300668151,False,7
lysozyme,sulfate,Anions,0.6669138521835957,0.6975638843106315,71,36,0.5070422535211268,False,8
lysozyme,cobalt,Metal/cations,0.6555107492248253,0.6654880790298872,3,2,0.6666666666666666,True,9
lysozyme,calcium,Metal/cations,0.6147684953215465,0.5660455343085864,19,8,0.42105263157894735,False,10
lysozyme,phosphate,Anions,0.4124216482341147,0.45114882123565425,231,60,0.2597402597402597,False,11
lysozyme,ethylammonium nitrate,IL/DES,0.38005097524419273,0.38005097524419273,2,0,0.0,True,12
lysozyme,mpd,Small neutral additives,0.34913186353200726,0.2765188398351201,34,8,0.23529411764705882,False,13
lysozyme,magnesium,Metal/cations,0.34577124238482615,0.27901636782284867,28,6,0.21428571428571427,False,14
lysozyme,formate,Anions,0.3099410644958724,0.2730100316457176,45,9,0.2,False,15
lysozyme,bromide,Anions,0.3023890262198256,0.3023890262198256,1,1,1.0,True,16
lysozyme,potassium,Metal/cations,0.266125812158111,0.3080166757456765,87,12,0.13793103448275862,False,17
lysozyme,acetate,Anions,0.2558902472501242,0.25435758568220096,852,125,0.1467136150234742,False,18
lysozyme,2-propanol,Small neutral additives,0.22333570597108723,0.22318997093348172,38,5,0.13157894736842105,False,19
