feature_set,model,target,n_features,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,n_rows,positive_rate
combined,random_forest,observed_in_structure_label,32,0.9557549850033552,0.0022320252863155146,0.8796224857106952,0.0073932953449475335,0.884438287870906,0.0021790091920227636,0.7830583899975877,0.006530988310496247,11761,0.23008247597993367
combined,gradient_boosting,observed_in_structure_label,32,0.9218678877400031,0.0028342393988359336,0.7769372111656687,0.0007898719948741734,0.7793465391085911,0.006250197948386857,0.6834861244936367,0.008098477408786485,11761,0.23008247597993367
combined,logistic_regression,observed_in_structure_label,32,0.8982213453813909,0.0015720607669368035,0.6676705313493084,0.002480685988166974,0.823007783706068,0.0015414767020958343,0.6599900823838235,0.005577697368991363,11761,0.23008247597993367
protein_and_species_only,random_forest,observed_in_structure_label,2,0.8985172027732511,0.005101999270653726,0.6790672937697805,0.012030285795827376,0.8342807626424872,0.003385445981683115,0.6842430599842094,0.0035410695525266863,11761,0.23008247597993367
protein_and_species_only,gradient_boosting,observed_in_structure_label,2,0.892662392368394,0.0023699404658828324,0.6751100255341284,0.00592377305835674,0.6791875594921585,0.024414053772940068,0.5149268973983069,0.04496368706152769,11761,0.23008247597993367
protein_and_species_only,logistic_regression,observed_in_structure_label,2,0.8819627412784968,0.0016726876129950082,0.6144965760881967,0.003975748639430122,0.8234136310018635,0.0019740989419713656,0.6617512882029294,0.0038216600745552584,11761,0.23008247597993367
protein_only,logistic_regression,observed_in_structure_label,1,0.617859424619281,0.0050724820450737075,0.29437887048738776,0.005923667770927851,0.6065562301696351,0.00421364136075947,0.4139603305427891,0.006800196875965408,11761,0.23008247597993367
protein_only,random_forest,observed_in_structure_label,1,0.617859424619281,0.0050724820450737075,0.29437887048738776,0.005923667770927851,0.6065562301696351,0.00421364136075947,0.4139603305427891,0.006800196875965408,11761,0.23008247597993367
protein_only,gradient_boosting,observed_in_structure_label,1,0.617859424619281,0.0050724820450737075,0.29437887048738776,0.005923667770927851,0.5,0.0,0.0,0.0,11761,0.23008247597993367
species_chemistry_only,random_forest,observed_in_structure_label,31,0.9499954727276512,0.001338332139217245,0.8667527412241555,0.00305797083389304,0.8745288367487495,0.005054148373454236,0.7691282558481795,0.004469283825719893,11761,0.23008247597993367
species_chemistry_only,gradient_boosting,observed_in_structure_label,31,0.9155424832890909,0.002574526442214817,0.7637426864545599,0.006863309780543546,0.7734099931034853,0.010627066866636805,0.6758845974032299,0.015102789170474161,11761,0.23008247597993367
species_chemistry_only,logistic_regression,observed_in_structure_label,31,0.8915686431400783,0.002359642422658424,0.6598631175290842,0.004675488873319381,0.8133208156116147,0.0009170220571246514,0.6493027592189896,0.005429116216916755,11761,0.23008247597993367
