feature,importance_mean,importance_std
p_h,0.871123941798124,0.01255343638906557
protein,0.8635665769359416,0.02045935645600196
temp_k,0.41745331716185685,0.004534488592399271
method_family,0.3048501188199211,0.012548313612608502
concentration_numeric_min,0.06498013971070576,0.0032723485028158714
concentration_numeric_mean,0.05590100648464036,0.0005967256507730881
concentration_numeric_max,0.05270370488017792,0.0011531381709515057
species_name,0.047340659830936355,0.0019503404473153855
molar_equivalent_min,0.045985383448922196,0.0020859002607614813
molar_equivalent_max,0.04529381315927744,0.003206105925044009
concentration_value_count,0.026946156166896468,0.0024010365021430898
molar_equivalent_mean,0.026570728209560968,0.0021283408342026443
concentration_unit_primary,0.022860835736439128,0.002444215275992646
concentration_bin,0.016695715548295686,0.0009143676017699842
concentration_unit_family,0.010449856205795527,0.0009424633810529687
species_major_class,0.007559727983588338,0.00022311939191018026
species_minor_class,0.00685347211491949,0.0002961614135300507
species_role_class,0.005192513730902126,0.0005776760255049841
condition_segment_count,0.0041611685531333376,0.0010742455926489966
is_ion_like,0.0039600662405182285,0.00032320201027943
has_numeric_concentration,0.0037690703162827077,8.688145240638179e-05
is_buffer_like,0.001411578940384517,5.9893165150090805e-05
is_screen_relevant_anion,0.0013556055910206588,2.1164330795911983e-05
is_polymeric_precipitant,0.0009005577155261069,0.00011812640062773655
is_divalent_cation,0.0008788646836823122,0.0003088518716973877
is_metal_cation,0.0005775188719778501,0.0002450980582009593
is_monovalent_cation,0.0005503097492050857,0.00020092463835813296
is_solvent_like,0.0005057064411423118,6.157338438895886e-05
is_polyol_like,0.0005013361032902564,9.351219149300896e-05
is_anion,0.00047580756989118456,0.00010708240417802479
is_cation,0.0003856287926520263,5.49994144163397e-05
is_ionic_liquid_or_des,2.7755575615628914e-17,4.8074067159589095e-17
